/Users/joe-caozhi/Library/Python/3.9/lib/python/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(

======================================================================
  Multi-Seed Statistical Power Experiment
  Mode: quick | n_seeds=10
  Envs: ['HalfCheetah-v4']
  Algorithms: ['Standard_PPO', 'HCGAE_Imp12', 'HCGAE_Imp12_SCR']
  Total runs: 30
  Estimated time: ~2 min (5 min/run)
======================================================================

  [1/30] SKIP HalfCheetah-v4 Standard_PPO seed=1
  [2/30] SKIP HalfCheetah-v4 Standard_PPO seed=2
  [3/30] SKIP HalfCheetah-v4 Standard_PPO seed=3
  [4/30] SKIP HalfCheetah-v4 Standard_PPO seed=4
  [5/30] SKIP HalfCheetah-v4 Standard_PPO seed=5
  [6/30] SKIP HalfCheetah-v4 Standard_PPO seed=6
  [7/30] SKIP HalfCheetah-v4 Standard_PPO seed=7
  [8/30] SKIP HalfCheetah-v4 Standard_PPO seed=8

  [9/30] HalfCheetah-v4 | Standard_PPO | seed=9
  [Standard_PPO_s9     ]  163840/300000 | Eval=  339.5 Rec=  69.6 | VL=9.375 EV=+0.283 | KL=0.0219 clip=0.305 |  1956fps    84s
  [Standard_PPO_s9     ]  165888/300000 | Eval=  339.5 Rec=  84.6 | VL=9.410 EV=+0.454 | KL=0.0231 clip=0.313 |  1958fps    85s
  [Standard_PPO_s9     ]  174080/300000 | Eval=  408.6 Rec=  90.9 | VL=13.098 EV=+0.494 | KL=0.0240 clip=0.320 |  1965fps    89s
  [Standard_PPO_s9     ]  176128/300000 | Eval=  408.6 Rec= 107.0 | VL=7.188 EV=+0.289 | KL=0.0215 clip=0.290 |  1971fps    89s
  [Standard_PPO_s9     ]  184320/300000 | Eval=  441.4 Rec= 129.1 | VL=7.705 EV=+0.391 | KL=0.0234 clip=0.319 |  1978fps    93s
  [Standard_PPO_s9     ]  186368/300000 | Eval=  441.4 Rec= 132.2 | VL=7.467 EV=+0.258 | KL=0.0266 clip=0.340 |  1984fps    94s
  [Standard_PPO_s9     ]  194560/300000 | Eval=  500.4 Rec= 163.7 | VL=10.791 EV=+0.320 | KL=0.0248 clip=0.321 |  1965fps    99s
  [Standard_PPO_s9     ]  196608/300000 | Eval=  500.4 Rec= 167.4 | VL=12.873 EV=+0.417 | KL=0.0234 clip=0.309 |  1963fps   100s
  [Standard_PPO_s9     ]  204800/300000 | Eval=  511.6 Rec= 193.9 | VL=15.592 EV=+0.491 | KL=0.0264 clip=0.339 |  1951fps   105s
  [Standard_PPO_s9     ]  206848/300000 | Eval=  511.6 Rec= 200.4 | VL=16.056 EV=+0.485 | KL=0.0250 clip=0.320 |  1956fps   106s
